,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Internet Movie Database,Language,Metacritic,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Debra Winger, Mark Keyloun, Darrell Larson, Brooke Alderson",N/A,N/A,USA,N/A,James Bridges,,"Drama, Mystery, Thriller",5.8/10,English,,N/A,"In L.A., a young woman tries to uncover what led to the brutal murder of her old flame and who killed him.",https://m.media-amazon.com/images/M/MV5BMjEwMjUxNjcwOV5BMl5BanBnXkFtZTcwMjI0MjMzMQ@@._V1_SX300.jpg,N/A,R,09 Mar 1984,True,,109 min,,Mike's Murder,movie,N/A,James Bridges,1984,tt0087722,5.8,737,,
0,"The Beatles, Leo McKern, Eleanor Bron, Victor Spinetti",Nominated for 2 BAFTA Film Awards. Another 3 nominations.,N/A,UK,N/A,Richard Lester,,"Adventure, Comedy, Musical",7.2/10,English,,N/A,"Sir Ringo Starr finds himself the human sacrifice target of a cult, and his fellow members of The Beatles must try to protect him from it.",https://m.media-amazon.com/images/M/MV5BMjZlNjAyNjItMDEwNy00OTExLWIzOTEtNDI0MTAzMWY4YThmXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,N/A,G,25 Aug 1965,True,88%,92 min,,Help!,movie,N/A,"Marc Behm (screenplay), Charles Wood (screenplay), Marc Behm (story)",1965,tt0059260,7.2,"16,539",,
0,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton",Won 1 Oscar. Another 5 wins & 6 nominations.,N/A,UK,N/A,Guy Hamilton,,"Action, Adventure, Thriller",7.7/10,"English, Chinese, Spanish",87/100,87,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",https://m.media-amazon.com/images/M/MV5BZDVjMzY1NjctMjRhMS00MTA2LWI1OTEtODZjMGJmMGQzMzc4XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,N/A,PG,09 Jan 1965,True,98%,110 min,,Goldfinger,movie,N/A,"Richard Maibaum (screenplay), Paul Dehn (screenplay)",1964,tt0058150,7.7,"167,184",,
0,"Sean Connery, Daniela Bianchi, Pedro Armendáriz, Lotte Lenya",Nominated for 1 Golden Globe. Another 3 wins & 5 nominations.,N/A,UK,N/A,Terence Young,,"Action, Adventure, Thriller",7.4/10,"English, Russian, Turkish, Romany",84/100,84,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,https://m.media-amazon.com/images/M/MV5BZjBiNGNlNmItZTk2Zi00YjRlLTk1NzEtNDI2YTNmN2EwNDhlXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,N/A,PG,27 May 1964,True,95%,115 min,,From Russia with Love,movie,N/A,"Richard Maibaum (screenplay), Johanna Harwood (adaptation)",1963,tt0057076,7.4,"113,730",,
0,"Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord",Won 1 Golden Globe. Another 2 wins & 4 nominations.,N/A,UK,N/A,Terence Young,,"Action, Adventure, Thriller",7.3/10,"English, French",78/100,78,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,https://m.media-amazon.com/images/M/MV5BMWRkZTI4NzktYjA4Yi00ZjE0LTgzOWQtYzJlMTkyOTU1ODRmXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,N/A,PG,10 Oct 1962,True,95%,110 min,,Dr. No,movie,N/A,"Richard Maibaum (screenplay), Johanna Harwood (screenplay), Berkely Mather (screenplay), Ian Fleming (novel)",1962,tt0055928,7.3,"142,190",,
0,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels",Nominated for 1 Oscar. Another 4 wins & 7 nominations.,N/A,USA,N/A,Randal Kleiser,,"Adventure, Drama, Romance",5.8/10,English,31/100,31,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",https://m.media-amazon.com/images/M/MV5BOWU2ZDIxY2UtNzM5NS00MWUwLTkxN2QtMmI3NDZkNTA2OTYxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,N/A,R,02 Jul 1980,True,9%,104 min,,The Blue Lagoon,movie,N/A,"Henry De Vere Stacpoole (based on the novel by), Douglas Day Stewart (screenplay by)",1980,tt0080453,5.8,"60,286",,
0,"Clint Eastwood, Marianne Koch, Gian Maria Volontè, Wolfgang Lukschy",1 win & 3 nominations.,N/A,"Italy, Spain, West Germany",N/A,Sergio Leone,,"Action, Drama, Western",8.0/10,"Italian, Spanish",65/100,65,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",https://m.media-amazon.com/images/M/MV5BYjA1MGVlMGItNzgxMC00OWY4LWI4YjEtNTNmYWIzMGUxOGQzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,R,18 Jan 1967,True,98%,99 min,,A Fistful of Dollars,movie,N/A,"Adriano Bolzoni (story), Mark Lowell (dialogue), Víctor Andrés Catena (story), Sergio Leone (story), Víctor Andrés Catena (screenplay), Jaime Comas Gil (screenplay), Sergio Leone (screenplay)",1964,tt0058461,8.0,"188,296",,
0,"Philip Baker Hall, John C. Reilly, Gwyneth Paltrow, Samuel L. Jackson",2 wins & 8 nominations.,N/A,USA,N/A,Paul Thomas Anderson,,"Crime, Drama",7.2/10,English,78/100,78,Professional gambler Sydney teaches John the tricks of the trade. John does well until he falls for cocktail waitress Clementine.,https://m.media-amazon.com/images/M/MV5BY2E0Mjc3MWEtNjYxNC00Y2UwLThmNTQtYmUyMTIzMzE2MTMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,28 Feb 1997,True,84%,101 min,,Hard Eight,movie,N/A,Paul Thomas Anderson,1996,tt0119256,7.2,"38,311",,
0,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara",3 wins & 3 nominations.,N/A,USA,N/A,Chris Columbus,,"Adventure, Comedy, Crime, Family",6.7/10,"English, French",,N/A,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",https://m.media-amazon.com/images/M/MV5BNDI1MzM0Y2YtYmIyMS00ODE3LTlhZjEtZTUyNmEzMTNhZWU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,PG,20 Nov 1992,True,33%,120 min,,Home Alone 2: Lost in New York,movie,N/A,"John Hughes (characters), John Hughes",1992,tt0104431,6.7,"287,189",,
0,"Wilbur 'Hi-Fi' White, Leon Isaac Kennedy, Thomas M. Pollard, Hazel Spears",N/A,N/A,USA,N/A,Jamaa Fanaka,,"Crime, Drama, Sport",5.8/10,English,,N/A,"A hitchhiker named Martel Gordone gets in a fight with two bikers over a prostitute, and one of the bikers is killed. Gordone is arrested and sent to prison, where he joins the prison's ...",https://m.media-amazon.com/images/M/MV5BMjhjMDM4ZDItZGMxNS00YjMxLWI0MzAtYjA4ODllZWQ5MGI3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,N/A,R,01 Dec 1979,True,,99 min,,Penitentiary,movie,N/A,Jamaa Fanaka,1979,tt0079709,5.8,751,,
0,"Leon Isaac Kennedy, Glynn Turman, Ernie Hudson, Mr. T",N/A,N/A,USA,N/A,Jamaa Fanaka,,"Crime, Drama, Sport",4.1/10,English,,N/A,"An ex-con, on parole and trying to straighten his life out, decides to resume his boxing career when one of his prison enemies escapes and kills his girlfriend.",https://m.media-amazon.com/images/M/MV5BNjQyZWFlYWQtMDgwMC00MjU0LWEyYmMtNzJhMjc4Y2Q2OTYxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,N/A,R,02 Apr 1982,True,,108 min,,Penitentiary II,movie,N/A,Jamaa Fanaka,1982,tt0084485,4.1,494,,
0,"Tom Berenger, Mimi Rogers, Lorraine Bracco, Jerry Orbach",2 nominations.,N/A,"USA, UK",28 Aug 2001,Ridley Scott,,"Crime, Drama, Romance, Thriller",6.1/10,English,55/100,55,A married New York cop falls for the socialite murder witness he's been assigned to protect.,https://m.media-amazon.com/images/M/MV5BZTRjZGVkMGQtY2QwZC00OTczLWJmODMtZTNhODBmZWY1MGZiXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,Sony Pictures Home Entertainment,R,09 Oct 1987,True,67%,106 min,,Someone to Watch Over Me,movie,N/A,Howard Franklin,1987,tt0094008,6.1,"9,057",,
0,"Valerie Red-Horse, Yvonne Russo, Irene Bedard, Kimberly Guerrero",1 win & 5 nominations.,N/A,USA,N/A,"Jennifer Wynne Farmer, Valerie Red-Horse",,Drama,6.5/10,English,,N/A,"Three Native American sisters (Red-Horse, Bedard, Guerrero) decide to try to sell a line of cosmetics they call Naturally Native, based on old tribal remedies, only to have to fight an ...",https://m.media-amazon.com/images/M/MV5BMTUwMDcyODI1MV5BMl5BanBnXkFtZTcwMjU5MDgwMg@@._V1_SX300.jpg,N/A,PG-13,01 Jan 1998,True,,107 min,,Naturally Native,movie,N/A,Valerie Red-Horse,1998,tt0133117,6.5,104,,
0,"Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier",Nominated for 1 Oscar. Another 10 wins & 37 nominations.,N/A,"USA, Germany",N/A,David Fincher,,Drama,8.8/10,English,66/100,66,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,N/A,R,15 Oct 1999,True,78%,139 min,,Fight Club,movie,N/A,"Chuck Palahniuk (novel), Jim Uhls (screenplay)",1999,tt0137523,8.8,"1,782,163",,
0,"Daniel MacIvor, Joshua Peace, Jack Griffin Mazeika, Carroll Godsman",2 wins & 4 nominations.,N/A,"Canada, UK, France, Italy",12 Dec 2000,Thom Fitzgerald,,Drama,6.6/10,English,52/100,52,"This film looks at the 1950's muscle men's magazines and the representative industry that were popular supposedly as health and fitness magazines, but were in reality primarily being ...",https://m.media-amazon.com/images/M/MV5BZmY5NzJjNzYtMmRhYi00MGQ2LWE4ZDUtOTNhZTYzMDBkMzI4XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,Strand Releasing,N/A,30 Jun 2000,True,57%,91 min,,Beefcake,movie,N/A,"Thom Fitzgerald, Valentine Hooven (book)",1998,tt0187712,6.6,946,,
0,"Bruce Willis, Michelle Pfeiffer, Colleen Rennison, Jake Sandvig",1 win & 4 nominations.,N/A,USA,N/A,Rob Reiner,,"Comedy, Drama, Romance",6.0/10,"English, Italian",37/100,37,Ben and Katie Jordan are a married couple who go through hard times in fifteen years of marriage.,https://m.media-amazon.com/images/M/MV5BYzAxZTI5NDItNzRkOS00NjczLTkzNjctMTU1NjdkYjI5YjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,15 Oct 1999,True,26%,95 min,,The Story of Us,movie,N/A,"Alan Zweibel, Jessie Nelson",1999,tt0160916,6.0,"20,893",,
0,"Drew Barrymore, Jimmy Fallon, Jason Spevack, Jack Kehler",9 nominations.,N/A,"USA, Germany",N/A,"Bobby Farrelly, Peter Farrelly",,"Comedy, Drama, Romance, Sport",6.2/10,English,56/100,56,Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.,https://m.media-amazon.com/images/M/MV5BMTMyNTE4ODA2N15BMl5BanBnXkFtZTcwNzg5ODUyMw@@._V1_SX300.jpg,N/A,PG-13,08 Apr 2005,True,65%,104 min,,The Perfect Catch,movie,N/A,"Lowell Ganz (screenplay), Babaloo Mandel (screenplay), Nick Hornby (novel)",2005,tt0332047,6.2,"41,412",,
0,"Noah Fleiss, Karen Young, Camryn Manheim, Austin Pendleton",1 win & 3 nominations.,N/A,USA,N/A,Frank Whaley,,"Crime, Drama",6.7/10,English,64/100,64,"A disadvantaged, abused, neglected, exploited but basically decent kid slips into criminality while trying to cope with his harsh, inescapable reality.",https://m.media-amazon.com/images/M/MV5BMTU2NTcxMzA2OV5BMl5BanBnXkFtZTYwMjM2OTY4._V1_SX300.jpg,N/A,R,22 Jan 1999,True,67%,93 min,,Joe the King,movie,N/A,Frank Whaley,1999,tt0160672,6.7,"2,545",,
0,"Ewen Bremner, Brian Fisk, Chloë Sevigny, Werner Herzog",3 wins & 4 nominations.,N/A,USA,N/A,Harmony Korine,,"Comedy, Drama",6.9/10,English,52/100,52,A portrait of the effects of schizophrenia on family life is the central focus.,https://m.media-amazon.com/images/M/MV5BZTEzZjIyODktZWIwYS00ZTliLWEzYTktMGZiNTEwNTQ0YzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,13 Sep 2000,True,28%,94 min,,Julien Donkey-Boy,movie,N/A,Harmony Korine,1999,tt0192194,6.9,"6,462",,
0,"Casper Van Dien, Michael York, Catherine Oxenberg, Michael Ironside",N/A,N/A,USA,N/A,Robert Marcarelli,,"Action, Adventure, Fantasy, Sci-Fi, Thriller",3.6/10,English,14/100,14,"Ancient codes hidden within the Torah reveal the secrets of global events, past (i.e., Hitler, the Kennedy assassination, the Gulf War), present, and future. One man (York) is after the ...",https://m.media-amazon.com/images/M/MV5BMjA1NjQ5NTI0M15BMl5BanBnXkFtZTcwMzMzNzUxMQ@@._V1_SX300.jpg,N/A,PG-13,27 Aug 1999,True,8%,100 min,,The Omega Code,movie,N/A,"Stephan Blinn (screenplay), Hollis Barton (screenplay)",1999,tt0203408,3.6,"4,932",,
0,"Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter, Donald Wiegert",Nominated for 1 Oscar. Another 19 wins & 39 nominations.,N/A,"France, UK, USA",N/A,David Lynch,,"Biography, Drama",8.0/10,English,86/100,86,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,https://m.media-amazon.com/images/M/MV5BNmE1MDk4OWEtYjk1NS00MWU2LTk5ZWItYjZhYmRkODRjMDc0XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,N/A,G,03 Nov 1999,True,95%,112 min,,The Straight Story,movie,N/A,"John Roach, Mary Sweeney",1999,tt0166896,8.0,"77,452",,
0,"Nancy Kelly, Patty McCormack, Henry Jones, Eileen Heckart",Nominated for 4 Oscars. Another 1 win & 1 nomination.,N/A,USA,N/A,Mervyn LeRoy,,"Drama, Horror, Thriller",7.5/10,English,51/100,51,A housewife suspects that her seemingly perfect eight-year-old daughter is a heartless killer.,https://m.media-amazon.com/images/M/MV5BYTM5M2QxMTktNzQ3NC00ZDUyLWJhZGEtNjhjMDIwYWEzOGNkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,N/A,Approved,12 Sep 1956,True,63%,129 min,,The Bad Seed,movie,N/A,"John Lee Mahin (screenplay), Maxwell Anderson (play), William March (novel)",1956,tt0048977,7.5,"12,222",,
0,"John Cleese, Sean Connery, Shelley Duvall, Katherine Helmond",1 win & 8 nominations.,N/A,UK,N/A,Terry Gilliam,,"Adventure, Comedy, Fantasy, Sci-Fi",7.0/10,English,79/100,79,"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.",https://m.media-amazon.com/images/M/MV5BMTg2MDYwMzM0NF5BMl5BanBnXkFtZTcwODI3MTQ5OQ@@._V1_SX300.jpg,N/A,PG,06 Nov 1981,True,89%,110 min,,Time Bandits,movie,N/A,"Michael Palin, Terry Gilliam",1981,tt0081633,7.0,"56,318",,
0,"Anouk Aimée, Jean-Louis Trintignant, Pierre Barouh, Valérie Lagrange",Won 2 Oscars. Another 11 wins & 10 nominations.,N/A,France,18 Mar 2003,Claude Lelouch,,"Drama, Romance",7.6/10,"French, English, Spanish",,N/A,"A widow and a widower find their relationship developing into love, but their past tragedies prove hard to overcome, causing them to proceed with utmost delicacy.",https://m.media-amazon.com/images/M/MV5BOTcwZGJmMGYtOWY2OC00MWNlLWI3MDMtNGRlMTdmNjFiYTIyXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,Warner Home Video,Unrated,12 Jul 1966,True,75%,102 min,,A Man and a Woman,movie,N/A,Pierre Uytterhoeven,1966,tt0061138,7.6,"8,851",,
0,"Klaus Kinski, Claudia Cardinale, José Lewgoy, Miguel Ángel Fuentes",Nominated for 1 Golden Globe. Another 4 wins & 3 nominations.,N/A,"West Germany, Peru",N/A,Werner Herzog,,"Adventure, Drama",8.1/10,"German, Spanish, Italian, English",,N/A,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",https://m.media-amazon.com/images/M/MV5BYjIzNTYxMTctZjAwNS00YzI3LWExMGMtMGQxNGM5ZTc1NzhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,PG,10 Oct 1982,True,78%,158 min,,Fitzcarraldo,movie,N/A,Werner Herzog,1982,tt0083946,8.1,"29,206",,
0,"Roy Scheider, Jessica Lange, Ann Reinking, Leland Palmer",Won 4 Oscars. Another 7 wins & 14 nominations.,N/A,USA,N/A,Bob Fosse,,"Drama, Music, Musical",7.9/10,"English, Spanish",72/100,72,"Director/choreographer Bob Fosse tells his own life story as he details the sordid life of Joe Gideon, a womanizing, drug-using dancer.",https://m.media-amazon.com/images/M/MV5BZWE4N2JkNDUtZDU4MC00ZjNhLTlkMjYtOTNkMjZhMDAwMDMyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,N/A,R,20 Dec 1979,True,85%,123 min,,All That Jazz,movie,N/A,"Robert Alan Aurthur, Bob Fosse",1979,tt0078754,7.9,"26,525",,
0,"Li Gong, Wen Jiang, Rujun Teng, Ji Liu",16 wins & 5 nominations.,N/A,China,N/A,Yimou Zhang,,"Drama, History, Romance, War",7.4/10,"Mandarin, Japanese",,N/A,"When a leprous winery owner in 1930s China dies a few days after his arranged marriage, his young widow is forced to run the winery to make a living while contending with bandits, her drunkard lover, and the invading Japanese army.",https://m.media-amazon.com/images/M/MV5BNDk5NjFiZjktMDEzOC00ZjkyLWEwZDMtMDQxZTgwZGNlYjQzXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,Not Rated,01 Feb 1989,True,83%,91 min,,Red Sorghum,movie,N/A,"Jianyu Chen, Yan Mo (books), Wei Zhu",1988,tt0093206,7.4,"7,579",,
0,"Bill Bernstein, Martin Landau, Claire Bloom, Stephanie Roth Haberle",Nominated for 3 Oscars. Another 16 wins & 22 nominations.,N/A,USA,N/A,Woody Allen,,"Comedy, Drama",7.9/10,"English, Hebrew",77/100,77,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,https://m.media-amazon.com/images/M/MV5BYWY3N2EyOWYtNDVhZi00MWRkLTg2OTUtODNkNDQ5ZTIwMGJkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,PG-13,03 Nov 1989,True,93%,104 min,,Crimes and Misdemeanors,movie,N/A,Woody Allen,1989,tt0097123,7.9,"52,720",,
