0,Title,Year,Rated,Runtime,Writer,Plot,Language,imdbRating,imdbVotes,imdbID,Rotten Tomatoes,Metacritic,Series,Released_season,Released_month,Released_day,PG_Rating,Available_languages,Oscars_won,Oscars_nominated,Golden_globe_won,Golden_globe_nominated,Unnamed: 0,0
tt0264464,Catch Me If You Can,2002.0,PG-13,141.0,"Jeff Nathanson (screenplay), Frank Abagnale Jr. (book), Stan Redding (book)","A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.","['English', ' French']",8.1,786123.0,tt0264464,9.6,7.5,0.0,1.0,12.0,25.0,2.0,2.0,0.0,2.0,0.0,0.0,,
tt0100802,Total Recall,1990.0,R,113.0,"Philip K. Dick (short story ""We Can Remember It For You Wholesale""), Ronald Shusett (screen story), Dan O'Bannon (screen story), Jon Povill (screen story), Ronald Shusett (screenplay), Dan O'Bannon (screenplay), Gary Goldman (screenplay)","When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",['English'],7.5,290641.0,tt0100802,8.2,5.7,0.0,3.0,6.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,,
tt0496806,Ocean's Thirteen,2007.0,PG-13,122.0,"Brian Koppelman, David Levien, George Clayton Johnson (characters), Jack Golden Russell (characters)","Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.","['English', ' Mandarin', ' Spanish', ' French']",6.9,309343.0,tt0496806,7.0,6.2,0.0,3.0,6.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,,
tt0066999,Dirty Harry,1971.0,R,102.0,"Harry Julian Fink (screenplay), Rita M. Fink (screenplay), Dean Riesner (screenplay), Harry Julian Fink (story), Rita M. Fink (story)","When a madman calling himself ""the Scorpio Killer"" menaces the city, tough as nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",['English'],7.7,138612.0,tt0066999,8.9,9.0,0.0,1.0,12.0,23.0,3.0,1.0,0.0,0.0,0.0,0.0,,
tt0356680,The Family Stone,2005.0,PG-13,103.0,Thomas Bezucha,"An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.","['English', ' American Sign Language']",6.3,58630.0,tt0356680,5.3,5.6,0.0,1.0,12.0,16.0,2.0,2.0,0.0,0.0,0.0,1.0,,
tt0051383,Auntie Mame,1958.0,Approved,143.0,"Betty Comden (screenplay), Adolph Green (screenplay), Patrick Dennis (from the novel: ""Auntie Mame"" by)",An orphan goes to live with his free-spirited aunt. Conflict ensues when the executor of his father's estate objects to the aunt's lifestyle.,"['English', ' French', ' Russian', ' Hindi']",7.9,9952.0,tt0051383,9.3,,0.0,1.0,12.0,27.0,,4.0,0.0,6.0,0.0,0.0,,
tt0242653,The Matrix Revolutions,2003.0,R,129.0,"Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters), Lana Wachowski (characters)",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,"['English', ' French']",6.8,435571.0,tt0242653,3.5,4.7,0.0,4.0,11.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,,
tt0120188,Three Kings,1999.0,R,114.0,"John Ridley (story), David O. Russell (screenplay)","In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.","['English', ' Arabic']",7.1,157157.0,tt0120188,9.4,8.2,0.0,4.0,10.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,
tt0139414,Lake Placid,1999.0,R,82.0,David E. Kelley,"Three people attempt to stop a gigantic crocodile, who is terrorizing residents in Black Lake, Maine.",['English'],5.7,53156.0,tt0139414,4.6,3.4,0.0,3.0,7.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,,
tt0257850,The Laramie Project,2002.0,TV-14,97.0,"Moisés Kaufman (play), Moisés Kaufman (screenplay), Stephen Belber (play), Stephen Belber (screenplay), Amanda Gronich (play), Amanda Gronich (screenplay), Greg Pierotti (play), Greg Pierotti (screenplay), Kelli Simpkins (play), Kelli Simpkins (screenplay), Jeffrey LaHoste (play), Jeffrey LaHoste (screenplay), John McAdams (play), John McAdams (screenplay), Leigh Fondakowski (play), Leigh Fondakowski (screenplay), Andy Paris (play), Andy Paris (screenplay), Barbara Pitts (play), Barbara Pitts (screenplay), Stephen Wangh (play), Stephen Wangh (screenplay)",The true story of an American town in the wake of the murder of Matthew Shepard.,['English'],7.3,5775.0,tt0257850,9.2,,0.0,2.0,3.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,,
tt0076759,Star Wars: Episode IV - A New Hope,1977.0,PG,121.0,George Lucas,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",['English'],8.6,1188658.0,tt0076759,9.2,9.0,0.0,2.0,5.0,25.0,1.0,1.0,6.0,0.0,0.0,0.0,,
tt0097322,The Fabulous Baker Boys,1989.0,R,114.0,Steve Kloves,"The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer.",['English'],6.8,21091.0,tt0097322,9.6,8.5,0.0,4.0,10.0,13.0,3.0,1.0,0.0,4.0,0.0,0.0,,
tt0103074,Thelma & Louise,1991.0,R,130.0,Callie Khouri,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed.",['English'],7.5,130587.0,tt0103074,8.4,8.8,0.0,2.0,5.0,24.0,3.0,1.0,1.0,0.0,0.0,0.0,,
tt0198781,"Monsters, Inc.",2001.0,G,92.0,"Pete Docter (original story by), Jill Culton (original story by), Jeff Pidgeon (original story by), Ralph Eggleston (original story by), Andrew Stanton (screenplay by), Daniel Gerson (screenplay by)","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",['English'],8.0,784790.0,tt0198781,9.6,7.9,0.0,4.0,11.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,
tt0125022,Heartbreakers,2001.0,PG-13,123.0,"Robert Dunn, Paul Guay, Stephen Mazur",A mother and daughter con team seduce and scam wealthy men.,"['English', ' Russian']",6.2,50245.0,tt0125022,5.3,4.7,0.0,2.0,3.0,23.0,2.0,2.0,0.0,0.0,0.0,0.0,,
tt0434139,The Last Kiss,2006.0,R,104.0,"Paul Haggis (screenplay), Gabriele Muccino (motion picture ""L'ultimo bacio"")","Michael'd have a great job, still have his 4 best friends, and be in love with a beautiful girl at 30. He loves Jenna but his life seems predictable until he meets a college girl. It seems that everybody's having relationship problems.",['English'],6.4,40380.0,tt0434139,4.6,5.7,0.0,4.0,9.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,,
tt0163651,American Pie,1999.0,R,95.0,Adam Herz,Four teenage boys enter a pact to lose their virginity by prom night.,['English'],7.0,365865.0,tt0163651,6.1,5.8,0.0,3.0,7.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,,
tt0335438,Starsky & Hutch,2004.0,PG-13,101.0,"William Blinn (characters), Stevie Long (story), John O'Brien (story), John O'Brien (screenplay), Todd Phillips (screenplay), Scot Armstrong (screenplay)","Two streetwise cops bust criminals in their red and white Ford Gran Torino, with the help of a police snitch called ""Huggy Bear"".","['English', ' Korean']",6.1,135507.0,tt0335438,6.2,5.5,0.0,2.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,,
tt0116695,Jerry Maguire,1996.0,R,139.0,Cameron Crowe,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.","['English', ' American Sign Language']",7.3,233361.0,tt0116695,8.3,7.7,0.0,1.0,12.0,13.0,3.0,2.0,1.0,0.0,0.0,0.0,,
tt0431197,The Kingdom,2007.0,R,110.0,Matthew Michael Carnahan,A team of U.S. government agents are sent to investigate the bombing of an American facility in the Middle East.,"['English', ' Arabic']",7.0,114812.0,tt0431197,5.1,5.6,0.0,4.0,9.0,28.0,3.0,2.0,0.0,0.0,0.0,0.0,,
tt0101745,Doc Hollywood,1991.0,PG-13,104.0,"Neil B. Shulman (book), Laurian Leggett (adaptation), Jeffrey Price (screenplay), Peter S. Seaman (screenplay), Daniel Pyne (screenplay)",A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.,['English'],6.2,32096.0,tt0101745,6.8,5.6,0.0,3.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,
tt0115678,Big Night,1996.0,R,109.0,"Stanley Tucci, Joseph Tropiano","New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredible food.","['English', ' Italian']",7.3,16385.0,tt0115678,9.6,8.0,0.0,4.0,9.0,20.0,3.0,2.0,0.0,0.0,0.0,0.0,,
tt0086066,The Outsiders,1983.0,PG,91.0,"Kathleen Rowell (screenplay), S.E. Hinton (novel)","The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other.",['English'],7.1,71927.0,tt0086066,6.3,4.1,0.0,2.0,3.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,,
tt0103644,Alien³,1992.0,R,114.0,"Dan O'Bannon (characters), Ronald Shusett (characters), Vincent Ward (story), David Giler (screenplay), Walter Hill (screenplay), Larry Ferguson (screenplay)","After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor.",['English'],6.5,268397.0,tt0103644,4.3,5.9,0.0,2.0,5.0,22.0,3.0,1.0,0.0,1.0,0.0,0.0,,
tt0120789,Pleasantville,1998.0,PG-13,124.0,Gary Ross,"Two 1990s teenage siblings find themselves in a 1950s sitcom, where their influence begins to profoundly change that complacent world.",['English'],7.5,118461.0,tt0120789,8.5,7.1,0.0,4.0,10.0,23.0,2.0,1.0,0.0,3.0,0.0,0.0,,
tt0124315,The Cider House Rules,1999.0,PG-13,126.0,"John Irving (novel), John Irving (screenplay)","A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world.",['English'],7.4,90660.0,tt0124315,7.1,7.5,0.0,1.0,1.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,,
tt0114436,Showgirls,1995.0,NC-17,128.0,Joe Eszterhas,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.",['English'],4.8,59539.0,tt0114436,2.2,1.6,0.0,4.0,9.0,22.0,4.0,1.0,0.0,0.0,0.0,0.0,,
tt0101465,Black Robe,1991.0,R,101.0,"Brian Moore (screenplay), Brian Moore (novel)","In the 17th century, a Jesuit missionary nicknamed Black Robe by the natives and his small party of companions try reaching the Huron tribe in Canada all while facing mistrust, Iroquois warring parties and harsh winter conditions.","['Cree', ' English', ' Mohawk', ' Algonquin', ' Latin']",7.1,6112.0,tt0101465,9.2,,0.0,4.0,10.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,,
tt0181865,Traffic,2000.0,R,147.0,"Simon Moore (miniseries Traffik), Stephen Gaghan (screenplay)","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.","['English', ' Spanish']",7.6,190965.0,tt0181865,9.3,8.6,0.0,1.0,1.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,,
tt0107290,Jurassic Park,1993.0,PG-13,127.0,"Michael Crichton (novel), Michael Crichton (screenplay), David Koepp (screenplay)",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"['English', ' Spanish']",8.1,832185.0,tt0107290,9.1,6.8,0.0,3.0,6.0,11.0,2.0,2.0,3.0,0.0,0.0,0.0,,
tt0108052,Schindler's List,1993.0,R,195.0,"Thomas Keneally (book), Steven Zaillian (screenplay)","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","['Latin', ' English', ' Hebrew', ' German', ' Polish']",8.9,1165580.0,tt0108052,9.7,9.4,0.0,1.0,2.0,4.0,3.0,5.0,7.0,0.0,0.0,0.0,,
tt0139654,Training Day,2001.0,R,122.0,David Ayer,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,"['English', ' Russian', ' Spanish', ' Korean', ' Greek']",7.7,376347.0,tt0139654,7.2,6.9,0.0,4.0,10.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,,
tt0369672,A Love Song for Bobby Long,2004.0,R,119.0,"Ronald Everett Capps (novel), Shainee Gabel (screenplay)",A headstrong young woman returns to New Orleans after the death of her estranged mother.,['English'],7.1,24633.0,tt0369672,4.3,4.8,0.0,1.0,1.0,21.0,3.0,1.0,0.0,0.0,0.0,1.0,,
tt0283832,8 Women,2002.0,R,111.0,"François Ozon (screenplay), François Ozon (adaptation), François Ozon (dialogue), Marina de Van (collaboration on screenplay), Robert Thomas (play)","One murdered man, eight women, each seeming to be eager than the others to know the truth. Gimme, gimme, gimme some clues to make up my mind. And eventually enter the truth. Oh, thou cruel woman!","['French', ' English']",7.1,28230.0,tt0283832,7.9,6.4,0.0,4.0,10.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,,
tt0368563,Possession,2009.0,PG-13,85.0,"Michael Petroni (screenplay), Won-mi Byun (screenplay Jungdok), Min-ho Song (screenplay Jungdok), Jae-yong Gwak (adaptation)","A woman's life is thrown into chaos after a freak car accident sends her husband and brother-in-law into comas. Thrills arrive after the brother-in-law wakes up, thinking he's his brother.",['English'],5.6,6979.0,tt0368563,,,0.0,3.0,7.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,,
tt0071230,Blazing Saddles,1974.0,R,93.0,"Mel Brooks (screenplay), Norman Steinberg (screenplay), Andrew Bergman (screenplay), Richard Pryor (screenplay), Alan Uger (screenplay), Andrew Bergman (story)","In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.","['English', ' Yiddish', ' German']",7.7,121456.0,tt0071230,8.9,7.3,0.0,1.0,2.0,7.0,3.0,3.0,0.0,3.0,0.0,0.0,,
tt0402901,The Cave,2005.0,PG-13,97.0,"Michael Steinberg, Tegan West",Bloodthirsty creatures await a pack of divers who become trapped in an underwater cave network.,"['English', ' Romanian']",5.1,34348.0,tt0402901,1.2,3.0,0.0,3.0,8.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,,
tt0089457,Ladyhawke,1985.0,PG-13,121.0,"Edward Khmara (screenplay), Michael Thomas (screenplay), Tom Mankiewicz (screenplay), Edward Khmara (story)","The thief Gaston escapes dungeon of medieval Aquila thru the latrine. Soldiers are about to kill him when Navarre saves him. Navarre, traveling with his spirited hawk, plans to kill the bishop of Aquila with help from Gaston.",['English'],7.0,41979.0,tt0089457,6.5,6.4,0.0,2.0,4.0,12.0,2.0,1.0,0.0,2.0,0.0,0.0,,
tt0356910,Mr. & Mrs. Smith,2005.0,PG-13,120.0,Simon Kinberg,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,"['English', ' Spanish']",6.5,436725.0,tt0356910,6.0,5.5,0.0,3.0,6.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,,
tt0093409,Lethal Weapon,1987.0,R,109.0,Shane Black,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,['English'],7.6,229286.0,tt0093409,8.2,6.8,0.0,2.0,3.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,,
tt0060153,Batman,1966.0,PG,105.0,"Lorenzo Semple Jr., Bob Kane (based upon the characters created by)",The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,['English'],6.5,28811.0,tt0060153,7.8,7.1,0.0,3.0,7.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,,
tt0054215,Psycho,1960.0,R,109.0,"Joseph Stefano (screenplay by), Robert Bloch (based on the novel by)","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",['English'],8.5,577226.0,tt0054215,9.6,9.7,0.0,4.0,9.0,8.0,3.0,1.0,0.0,4.0,0.0,0.0,,
tt0280609,Dog Soldiers,2002.0,R,105.0,Neil Marshall,A routine military exercise turns into a nightmare in the Scotland wilderness.,['English'],6.8,53658.0,tt0280609,7.7,,0.0,2.0,5.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,,
tt0211915,Amélie,2001.0,R,122.0,"Guillaume Laurant (scenario), Jean-Pierre Jeunet (scenario), Guillaume Laurant (dialogue)","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","['French', ' Russian', ' English']",8.3,684341.0,tt0211915,8.8,6.9,0.0,1.0,2.0,8.0,3.0,3.0,0.0,5.0,0.0,0.0,,
tt0115736,Bound,1996.0,R,109.0,"Lilly Wachowski, Lana Wachowski",Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.,"['English', ' Italian']",7.3,48817.0,tt0115736,8.8,6.1,0.0,4.0,10.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,,
tt0097778,Look Who's Talking,1989.0,PG-13,93.0,Amy Heckerling,"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over.",['English'],5.9,75245.0,tt0097778,5.7,5.1,0.0,4.0,10.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,,
tt0091306,Jumpin' Jack Flash,1986.0,R,105.0,"David Franzoni (story), David Franzoni (screenplay), Charles Shyer (screenplay), Nancy Meyers (screenplay), Chris Thompson (screenplay)","A computer wiz woman/W.Goldberg works at a computer terminal in a NYC bank. One day she gets a strange message and breaks the code. Suddenly, she finds herself in the middle of dangerous spy business.",['English'],5.9,17578.0,tt0091306,2.9,5.2,0.0,4.0,10.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,,
tt0413300,Spider-Man 3,2007.0,PG-13,139.0,"Sam Raimi (screenplay), Ivan Raimi (screenplay), Alvin Sargent (screenplay), Sam Raimi (screen story), Ivan Raimi (screen story), Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book)","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","['English', ' French']",6.2,484324.0,tt0413300,6.3,5.9,0.0,2.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,,
tt0093191,Wings of Desire,1987.0,PG-13,128.0,"Wim Wenders (screenplay by), Peter Handke (screenplay by)",An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,"['German', ' English', ' French', ' Turkish', ' Hebrew', ' Spanish', ' Japanese']",8.0,62001.0,tt0093191,9.8,7.9,0.0,2.0,5.0,6.0,2.0,7.0,0.0,0.0,0.0,0.0,,
tt0110148,Interview with the Vampire: The Vampire Chronicles,1994.0,R,123.0,"Anne Rice (screenplay), Anne Rice (novel)","A vampire tells his epic life story: love, betrayal, loneliness, and hunger.","['English', ' French']",7.6,285644.0,tt0110148,6.2,5.9,0.0,4.0,11.0,11.0,3.0,2.0,0.0,2.0,0.0,0.0,,
tt0212720,A.I. Artificial Intelligence,2001.0,PG-13,146.0,"Brian Aldiss (short story ""Supertoys Last All Summer Long""), Ian Watson (screen story), Steven Spielberg (screenplay)","A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",['English'],7.2,283474.0,tt0212720,7.4,6.5,0.0,3.0,6.0,29.0,2.0,1.0,0.0,2.0,0.0,0.0,,
