,imdbID,Plot
46,tt0114436,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls."
47,tt0101465,"In the 17th century, a Jesuit missionary nicknamed Black Robe by the natives and his small party of companions try reaching the Huron tribe in Canada all while facing mistrust, Iroquois warring parties and harsh winter conditions."
48,tt0181865,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
49,tt0107290,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
50,tt0108052,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
51,tt0139654,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
52,tt0369672,A headstrong young woman returns to New Orleans after the death of her estranged mother.
53,tt0283832,"One murdered man, eight women, each seeming to be eager than the others to know the truth. Gimme, gimme, gimme some clues to make up my mind. And eventually enter the truth. Oh, thou cruel woman!"
54,tt0368563,"A woman's life is thrown into chaos after a freak car accident sends her husband and brother-in-law into comas. Thrills arrive after the brother-in-law wakes up, thinking he's his brother."
55,tt0071230,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
56,tt0402901,Bloodthirsty creatures await a pack of divers who become trapped in an underwater cave network.
57,tt0089457,"The thief Gaston escapes dungeon of medieval Aquila thru the latrine. Soldiers are about to kill him when Navarre saves him. Navarre, traveling with his spirited hawk, plans to kill the bishop of Aquila with help from Gaston."
58,tt0356910,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.
59,tt0093409,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.
60,tt0060153,The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.
61,tt0054215,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
62,tt0280609,A routine military exercise turns into a nightmare in the Scotland wilderness.
63,tt0211915,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
64,tt0115736,Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.
65,tt0097778,"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over."
66,tt0091306,"A computer wiz woman/W.Goldberg works at a computer terminal in a NYC bank. One day she gets a strange message and breaks the code. Suddenly, she finds herself in the middle of dangerous spy business."
67,tt0413300,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
68,tt0093191,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.
69,tt0110148,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger."
70,tt0212720,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother."
71,tt0080684,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
72,tt0111438,"Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future."
73,tt0103064,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
74,tt0032635,"The owner of a coal mining operation, falsely imprisoned for fratricide, takes a drug to make him invisible, despite its side effect: gradual madness."
75,tt0120082,"Two years after the first series of murders, as Sydney acclimates to college life, someone donning the Ghostface costume begins a new string of killings."
76,tt0094226,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him."
77,tt0289992,A man against capital punishment is accused of murdering a fellow activist and is sent to death row.
78,tt0416320,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
79,tt0280707,The lives of upstairs guests and downstairs servants at a party in 1932 in a country house in England as they investigate a murder involving one of them.
80,tt0099785,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
81,tt0089881,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
82,tt0234137,"Kate's fired from a women's magazine for writing about BJs, based on own experience as requested. She gets a last chance - 2500 happy, perky words on finding/keeping that perfect man. She tells about her relationships."
83,tt0099077,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them."
84,tt0119683,"Valjean, a former criminal, has atoned for his past and now finds himself in the midst of the French Revolution, avoiding a law-obsessed policeman hell-bent on capturing him."
85,tt0449061,London is a drug laden adventure that centers on a party in a New York loft where a young man is trying to win back his ex-girlfriend.
86,tt0089880,Rambo returns to the jungles of Vietnam on a mission to infiltrate an enemy base-camp and rescue the American POWs still held captive there.
87,tt0472198,"The life and death story of The Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm."
88,tt0189541,"Mike is romantic and persistent, a social worker at a psychiatric clinic who falls for a new intern. Gabriela is passionate; she's also engaged; although her love for her fiance Patrick ..."
89,tt0110598,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love."
90,tt0093690,"Two women unknowingly share the same man, but when he disappears, both go out looking for him and enter his surprisingly dangerous life."
91,tt0111161,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
92,tt0103855,"A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's."
93,tt0083722,A young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.
94,tt0120915,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory."
95,tt0443680,"Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader."
96,tt0361596,Michael Moore's view on what happened to the United States after September 11; and how the Bush Administration allegedly used the tragic event to push forward its agenda for unjust wars in Afghanistan and Iraq.
97,tt0477347,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.
98,tt0091799,"Norman Bates falls in love with a fallen nun who stays at the Bates Motel alongside a drifter and a curious reporter. Meanwhile, ""mother"" is still watching."
99,tt0119174,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality."
100,tt0825232,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.
101,tt0062229,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.
102,tt0317740,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally."
103,tt0155722,"Follows three men who are in love with a most beautiful waitress: An intellectual restaurant owner, a mysterious musician and an erratic businessman; taking place during the WWII."
104,tt0347149,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
105,tt0093206,"When a leprous winery owner in 1930s China dies a few days after his arranged marriage, his young widow is forced to run the winery to make a living while contending with bandits, her drunkard lover, and the invading Japanese army."
106,tt0467406,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child."
107,tt0056801,A harried movie director retreats into his memories and fantasies.
108,tt0105665,"Laura Palmer's harrowing final days are chronicled one year after the murder of Teresa Banks, a resident of Twin Peaks' neighboring town."
109,tt0097240,A pharmacy-robbing dope fiend and his crew pop pills and evade the law.
110,tt0120784,"After a successful heist, Porter is left for dead. Once he recovers, he seeks vengeance and wants his share of the money."
111,tt0096219,"A rude, contemptuous talk show host becomes overwhelmed by the hatred that surrounds his program just before it goes national."
112,tt0119217,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
113,tt0106453,A lawyer defends a woman accused of killing her older lover by having sex with him.
114,tt0308644,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
115,tt0093822,"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated."
116,tt0032976,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
117,tt0155267,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective."
118,tt0425210,A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses: The Rabbi and The Boss. Slevin is under constant surveillance by relentless Detective Brikowski as well as the infamous assassin Goodkat and finds himself having to hatch his own ingenious plot to get them before they get him.
119,tt0144528,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love."
120,tt0032138,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
121,tt0271219,"Coming-of-age story about a suave 15-year-old prep school student who falls in love with his stepmother. When her best friend responds to his advances, he suddenly finds himself in way over his head."
122,tt0083652,"A concert film in which Bill Cosby discusses weekends, raising children, dentists, and many other situations."
123,tt0031381,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
124,tt0266915,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam."
125,tt0158811,"Gonzo is contacted by his alien family through his breakfast cereal. But when the men in black kidnap him, it's up to Kermit and the gang to rescue Gonzo and help him reunite with his long-lost family."
126,tt0087980,He had everything and wanted nothing. He learned that he had nothing and wanted everything. He saved the world and then it shattered. The path to enlightenment is as sharp and narrow as a razor's edge.
127,tt0075148,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
128,tt0441796,"For a group of teens, the answer to the mysterious death of their old friend lies within the world of an online video game based on the true story of an ancient noblewoman known as the Blood Countess."
129,tt0115685,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
130,tt0131646,"Blair, a fighter pilot, joins an interstellar war to fight the evil Kilrathi who are trying to destroy the universe."
131,tt0092513,A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.
132,tt0115759,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
133,tt0058672,A conman gets mixed up with a group of thieves who plan to rob an Istanbul museum to steal a jewelled dagger.
134,tt0445620,Two childhood friends are recruited for a suicide bombing in Tel Aviv.
135,tt0067741,Cool black private eye John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.
136,tt0096446,A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.
137,tt0481369,"Walter Sparrow becomes obsessed with a novel that he believes was written about him. As his obsession increases, more and more similarities seem to arise."
138,tt0082158,"Two British track athletes, one a determined Jew, and the other a devout Christian, compete in the 1924 Olympics."
139,tt0332452,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved."
140,tt0120611,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires."
141,tt0021814,The ancient vampire Count Dracula arrives in England and begins to prey upon the virtuous young Mina.
142,tt0113986,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse."
143,tt0425123,A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.
144,tt0088763,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
145,tt0072081,"Inspector Jacque Clouseau (Peter Sellers) is put on the case when the Pink Panther diamond is stolen, with the Phantom's trademark glove the only clue."
146,tt0163025,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants."
147,tt0112346,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway."
148,tt0422295,"Turning her back on her wealthy, established family, Diane Arbus falls in love with Lionel Sweeney, an enigmatic mentor who introduces Arbus to the marginalized people who help her become one of the most revered photographers of the twentieth century."
149,tt0290002,All hell breaks loose when the Byrnes family meets the Focker family for the first time.
150,tt0094291,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing."
151,tt0090264,"The recovery of a microchip off the body of a fellow agent, leads James Bond to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley."
152,tt0120735,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
153,tt0119698,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
154,tt0482571,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
155,tt0083866,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.
156,tt0094012,A star pilot and his sidekick must come to the rescue of a Princess and save the galaxy from a ruthless race of beings known as Spaceballs.
157,tt0031505,"In Cornwall, 1819, a young woman discovers she's living near a gang of criminals who arrange shipwrecks for profit."
158,tt0318283,A writer must turn out a novel in thirty days or face the wrath of loan sharks.
159,tt0107617,"A Vietnamese servant girl, Mui, observes lives within two different Saigon families: the first, a woman textile seller with three boys and a frequently absent husband; the second, a handsome young pianist with his fiancée."
160,tt0091396,"A New York district attorney works and flirts with his adversary and her kooky artist client, who is on trial for a murder she didn't commit."
161,tt0356721,"A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means."
162,tt0091080,"Tommy Jarvis goes to the graveyard to get rid of Jason Voorhees' body once and for all, but inadvertently brings him back to life instead. The newly revived killer once again seeks revenge, and Tommy may be the only one who can defeat him."
163,tt0075686,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.
164,tt0421238,"A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother."
165,tt0102926,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
166,tt0185014,"An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in."
167,tt0090022,A misfit bunch of friends come together to right the injustices which exist in a small town.
168,tt0317198,"After finding love, Bridget Jones questions if she really has everything she'd ever dreamed of having."
169,tt0230030,"Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul."
170,tt0117060,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
171,tt0100212,"An all too uptight FBI agent must protect a larger than life mobster with a heart of gold, currently under witness protection in the suburbs."
172,tt0077975,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him."
173,tt0092699,"Take two rival television reporters: one handsome, one talented, both male. Add one Producer, female. Mix well, and watch the sparks fly."
174,tt0829482,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
175,tt0114558,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.
176,tt0054130,A day in the life of an unfaithful married couple and their steadily deteriorating relationship.
177,tt0358273,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
178,tt0283509,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
179,tt0113749,"Both dumped by their girlfriends, two best friends seek refuge in the local mall."
180,tt0105236,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
181,tt0105112,"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge."
182,tt0185937,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind."
183,tt0106977,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
184,tt1043838,A seasoned senior enlisted special operations (spec ops) United States Marine is wounded during combat operations in Iraq. He is retired from the Marine Corps and visits a friend on a ranch...
185,tt0457513,"An American journalism student in London scoops a big story, and begins an affair with an aristocrat as the incident unfurls."
186,tt0172495,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
187,tt0085333,A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.
188,tt0063819,"Winnie the Pooh and his friends experience high winds, heavy rains, and a flood in Hundred Acre Wood."
189,tt0165832,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl."
190,tt0427969,"A detective examines the mysterious death of George Reeves, the star of the television series Adventures of Superman (1952)."
191,tt0286499,The daughter of orthodox Sikh rebels against her parents' traditionalism and joins a football team.
192,tt0181689,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
193,tt0419706,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.
194,tt0356634,"Jon Arbuckle buys a second pet, a dog named Odie. However, Odie is then abducted and it is up to Jon's cat, Garfield, to find and rescue the canine."
195,tt0290334,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him."
196,tt0113957,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger."
197,tt0449059,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
198,tt0295297,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.
199,tt0167260,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
200,tt0203009,A poet falls for a beautiful courtesan whom a jealous duke covets.
201,tt0112864,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building."
202,tt0108188,Several yakuza from Tokyo are sent to Okinawa to help end a gang war. The war then escalates and the Tokyo drifters decide to lay low at the beach.
203,tt0115641,The dim-witted teen duo of Beavis and Butt-Head travel across America in search of their stolen television set.
204,tt0066921,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
205,tt0167261,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
206,tt0137494,An insurance agent is sent by her employer to track down and help capture an art thief.
207,tt0139809,A computer scientist running a virtual reality simulation of 1937 becomes the primary suspect when his colleague and mentor is murdered.
208,tt0177789,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord."
209,tt0118880,Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.
210,tt0207201,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking."
211,tt0089670,The Griswolds win a vacation tour across Europe where the usual havoc ensues.
212,tt0167404,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
213,tt0418689,"The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II."
214,tt0097428,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
215,tt0110622,Frank Drebin (Leslie Nielsen) comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.
216,tt0088258,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
217,tt0061811,An African-American police detective is asked to investigate a murder in a racially hostile southern town.
218,tt0114898,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land."
219,tt0113189,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
220,tt0051773,An actress who has given up on love meets a suave banker and begins a flirtation with him...even though he's already married.
221,tt0087332,Three former parapsychology professors set up shop as a unique ghost removal service.
222,tt0087182,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.
223,tt0115956,"A U.S. Army officer, despondent about a deadly mistake he made, investigates a female chopper commander's worthiness for the Medal of Honor."
224,tt0479143,"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight; against the reigning heavyweight champ Mason 'The Line' Dixon."
225,tt0084352,The Monty Python troupe perform a combination of classic sketches and new material at the Hollywood Bowl.
226,tt0117951,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
227,tt0309593,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe. Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next."
228,tt0098966,"Three ex-dads quickly discover how empty life is without their little lady, and go to outrageous lengths in their efforts to win their daughter back in this critically acclaimed and equally charming sequel."
229,tt0117887,"A local Pennsylvania band scores a one hit wonder in 1964 and rides the star-making machinery as long as they can, with lots of help from its manager."
230,tt0105151,"A Hollywood studio executive is being sent death threats by a writer whose script he rejected, but which one?"
231,tt0117737,"After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself."
232,tt0365737,A politically charged epic about the state of the oil industry in the hands of those personally involved in and affected by it.
